game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,0,0,0:12:00,0:00:00,0:00:00,2,DEN,jump ball,,Anthony Davis,Nikola Jokic,,,,,,,Anthony Davis,,LeBron James,,,,jump ball,,,,,,Jump Ball Jokic vs. Davis: Tip to James
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,2,0,0:11:42,0:00:18,0:00:18,3,LAL,shot,D'Angelo Russell,,,,,,,,,Anthony Davis,2,,,made,,dunk,1,2,8,24.8,5.8,Davis 1' Dunk (2 PTS) (Russell 1 AST)
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,2,2,0:11:15,0:00:45,0:00:27,4,DEN,shot,Jamal Murray,,,,,,,,,Nikola Jokic,2,,,made,,driving floating jump shot,7,13,65,26.3,82.5,Jokic 7' Driving Floating Jump Shot (2 PTS) (Murray 1 AST)
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,5,2,0:10:57,0:01:03,0:00:18,5,LAL,shot,LeBron James,,,,,,,,,Taurean Prince,3,,,made,,3pt jump shot,24,237,56,1.2999999999999972,10.600000000000001,Prince 24' 3PT Jump Shot (3 PTS) (James 1 AST)
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,5,4,0:10:40,0:01:20,0:00:17,6,DEN,shot,,,,,,,,,,Jamal Murray,2,,,made,,layup,6,-6,58,24.4,83.2,Murray 6' Driving Finger Roll Layup (2 PTS)
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,8,4,0:10:33,0:01:27,0:00:07,7,LAL,shot,LeBron James,,,,,,,,,Taurean Prince,3,,,made,,3pt jump shot,25,-207,134,45.7,18.4,Prince 25' 3PT Jump Shot (6 PTS) (James 2 AST)
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,8,7,0:10:16,0:01:44,0:00:17,8,DEN,shot,,,,,,,,,,Jamal Murray,3,,,made,,3pt step back jump shot,26,-124,231,12.6,65.9,Murray 26' 3PT Step Back Jump Shot (5 PTS)
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,8,7,0:10:03,0:01:57,0:00:13,9,LAL,shot,,,,,,,,,,D'Angelo Russell,0,,,missed,,3pt pullup jump shot,25,184,169,6.599999999999998,21.900000000000002,MISS Russell 25' 3PT Pullup Jump Shot
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,8,7,0:10:01,0:01:59,0:00:02,10,LAL,rebound,,,,,,,,,,Austin Reaves,,,,,,rebound offensive,,,,,,Reaves REBOUND (Off:1 Def:0)
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,8,7,0:09:49,0:02:11,0:00:12,11,LAL,shot,,,,,,,,,,Anthony Davis,0,,,missed,,jump shot,18,109,147,14.1,19.700000000000003,MISS Davis 18' Step Back Jump Shot
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,8,7,0:09:46,0:02:14,0:00:03,12,DEN,rebound,,,,,,,,,,Michael Porter Jr.,,,,,,rebound defensive,,,,,,Porter Jr. REBOUND (Off:0 Def:1)
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,8,7,0:09:36,0:02:24,0:00:10,13,DEN,shot,,,,Anthony Davis,,,,,,Nikola Jokic,0,,,missed,,layup,2,20,13,27.0,87.7,MISS Jokic 2' Layup: Davis BLOCK (1 BLK)
22300061,NBA 2023-2024 Regular Season,2023-10-24,Anthony Davis,LeBron James,D'Angelo Russell,Taurean Prince,Austin Reaves,Nikola Jokic,Jamal Murray,Michael Porter Jr.,Aaron Gordon,Kentavious Caldwell-Pope,1,8,7,0:09:34,0:02:26,0:00:02,14,LAL,rebound,,,,,,,,,,LeBron James,,,,,,rebound defensive,,,,,,James REBOUND (Off:0 Def:1)
